TradingSymbol,Name,InstrumentType,TimeStamp,Open,High,Low,Close,Volume
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:28,  3.65 ,  3.65 ,  3.55 ,  3.55 ,""  5,000.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:29,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:30,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:31,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:32,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:33,  3.55 ,  3.55 ,  3.55 ,  3.55 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:34,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:35,  3.55 ,  3.55 ,  3.50 ,  3.50 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:36,  3.50 ,  3.50 ,  3.50 ,  3.50 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:37,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:38,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:39,  3.50 ,  3.50 ,  3.40 ,  3.40 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:40,  3.40 ,  3.40 ,  3.40 ,  3.40 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:41,  3.40 ,  3.40 ,  3.40 ,  3.40 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:42,  3.40 ,  3.50 ,  3.40 ,  3.50 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:43,  3.50 ,  3.50 ,  3.50 ,  3.50 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:44,  3.90 ,  5.05 ,  3.90 ,  4.95 ,""  15,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:45,  4.95 ,  5.05 ,  4.25 ,  4.65 ,""  88,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:46,  4.65 ,  4.85 ,  4.65 ,  4.80 ,""  80,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:47,  4.80 ,  4.80 ,  4.50 ,  4.50 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:48,  4.50 ,  4.50 ,  4.35 ,  4.35 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:49,  4.35 ,  4.45 ,  4.30 ,  4.45 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:50,  4.45 ,  4.50 ,  4.45 ,  4.50 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:51,  4.50 ,  4.50 ,  4.50 ,  4.50 ,""  3,750.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:52,  4.50 ,  4.50 ,  4.50 ,  4.50 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:53,  4.50 ,  4.50 ,  4.40 ,  4.40 ,""  5,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:54,  4.40 ,  4.40 ,  4.40 ,  4.40 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:55,  4.40 ,  4.40 ,  4.40 ,  4.40 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 10:56,  4.40 ,  4.40 ,  4.40 ,  4.40 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:57,  4.40 ,  4.50 ,  4.40 ,  4.45 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:58,  4.50 ,  4.50 ,  4.05 ,  4.05 ,""  12,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 10:59,  4.05 ,  4.15 ,  3.90 ,  3.90 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:00,  3.85 ,  3.95 ,  3.80 ,  3.95 ,""  22,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:01,  3.95 ,  4.05 ,  3.95 ,  4.00 ,""  3,750.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:02,  4.00 ,  4.00 ,  4.00 ,  4.00 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:03,  4.00 ,  4.00 ,  4.00 ,  4.00 ,""  3,750.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:04,  4.00 ,  4.05 ,  4.00 ,  4.05 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:05,  4.05 ,  4.05 ,  4.05 ,  4.05 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:06,  4.05 ,  4.05 ,  4.05 ,  4.05 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:07,  4.05 ,  4.05 ,  4.00 ,  4.00 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:08,  4.00 ,  4.00 ,  4.00 ,  4.00 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:09,  4.00 ,  4.00 ,  4.00 ,  4.00 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:10,  4.00 ,  4.00 ,  4.00 ,  4.00 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:11,  4.00 ,  4.00 ,  3.95 ,  3.95 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:12,  3.90 ,  3.90 ,  3.80 ,  3.80 ,""  15,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:13,  3.80 ,  3.80 ,  3.80 ,  3.80 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:14,  3.80 ,  3.80 ,  3.25 ,  3.25 ,""  20,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:15,  3.25 ,  3.35 ,  3.25 ,  3.35 ,""  11,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:16,  3.35 ,  3.35 ,  3.35 ,  3.35 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:17,  3.35 ,  3.70 ,  3.35 ,  3.70 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:18,  3.70 ,  3.70 ,  3.70 ,  3.70 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:19,  3.50 ,  3.50 ,  3.50 ,  3.50 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:20,  3.50 ,  3.55 ,  3.50 ,  3.55 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:21,  3.55 ,  3.55 ,  3.55 ,  3.55 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:22,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:23,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:24,  3.55 ,  3.55 ,  3.55 ,  3.55 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:25,  3.55 ,  3.55 ,  3.30 ,  3.35 ,""  7,500.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:26,  3.35 ,  3.40 ,  3.35 ,  3.40 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:27,  3.40 ,  3.50 ,  3.40 ,  3.50 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:28,  3.50 ,  3.50 ,  3.45 ,  3.45 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:29,  3.45 ,  3.45 ,  3.40 ,  3.40 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:30,  3.40 ,  3.50 ,  3.40 ,  3.50 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:31,  3.50 ,  3.50 ,  3.40 ,  3.40 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 11:32,  3.40 ,  3.45 ,  3.40 ,  3.45 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 11:33,  3.45 ,  3.45 ,  3.45 ,  3.45 ,  -   
